LocalID,OriginTag,Description,DeviceID,Unit,Type
/hs4sd_v1/ab02/burner///per/load,AB-40543/Meas1/PRIM,"NO.2 BURNER SIGNALS BURNER LOAD, LIQUID FUEL",IAS,percent,Decimal
/hs4sd_v1/ab02/fuel/oil//bar/press,AB-F225-2/Meas1/PRIM,F225 - NO.2 LIQUID FUEL SUPPLY PRESSURE,IAS,bar,Decimal
/hs4sd_v1/ab02/fuel/oil//c/temp,AB-F212-2/Meas1/PRIM,F212 - NO.2 LIQUID FUEL SUPPLY TEMPERATURE,IAS,degree Cellisius,Decimal
/hs4sd_v1/ab02/windbox///c/temp,AB-F131-2/Meas1/PRIM,F131 - NO.2 WINDBOX TEMPERATURE,IAS,degree Cellisius,Decimal
/hs4sd_v1/als/////run,AX602.01/Meas1/PRIM,ALS FLOW CONTROL PANEL,IAS,,Boolean
/hs4sd_v1/aprs////in_per/pos,PR041/OutPosition/PRIM,A-PRS INLET,IAS,percent,Decimal
/hs4sd_v1/aprs////low_press_out_bar/press,PR055.01/Meas1/PRIM,A-PRS LOW PRESS,IAS,bar,Decimal
/hs4sd_v1/aprs//inst_air//supply_bar/press,PR027.01/Meas1/PRIM,A-PRS INSTUMENT AIR SUPPLY,IAS,bar,Decimal
/hs4sd_v1/aprs/jtv01///per/cont,PR035/OutControl/PRIM,A-PRS JT VV 1 (JTV-1),IAS,percent,Decimal
/hs4sd_v1/aprs/jtv01//vv/per/pos,PR035/OutPosition/PRIM,A-PRS JT VV 1 (JTV-1),IAS,percent,Decimal
/hs4sd_v1/aprs/jtv02///per/cont,PR036/OutControl/PRIM,A-PRS JT VV 2 (JTV-2),IAS,percent,Decimal
/hs4sd_v1/aprs/jtv02//vv/per/pos,PR036/OutPosition/PRIM,A-PRS JT VV 2 (JTV-2),IAS,percent,Decimal
/hs4sd_v1/aprs/pche///hp_bog_in_bar/press,PR022.01/Meas1/PRIM,A-PRS PCHE HIGH PRESS,IAS,bar,Decimal
/hs4sd_v1/aprs/pche///hp_bog_in_c/temp,PR012.01/Meas1/PRIM,A-PRS PCHE HIGH PRESS,IAS,degree Cellisius,Decimal
/hs4sd_v1/aprs/pche///hp_bog_out_bar/press,PR023.01/Meas1/PRIM,A-PRS PCHE HIGH PRESS,IAS,bar,Decimal
/hs4sd_v1/aprs/pche///hp_out_c/temp,PR013.01/Meas1/PRIM,A-PRS PCHE HIGH PRESS,IAS,degree Cellisius,Decimal
/hs4sd_v1/aprs/pche///lp_bog_in_bar/press,PR020.01/Meas1/PRIM,A-PRS PCHE LOW PRESS,IAS,bar,Decimal
